experiment,dataset,config,sequence,ate_rmse_m
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_360,0.088896
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_desk,0.021454
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_desk2,0.027775
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_floor,0.246780
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_plant,0.391511
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_room,0.387820
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_rpy,0.025431
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_teddy,0.037889
dvlt-fr1-ungated,TUM fr1,"loops on, NOT verified (lc_verify=bypass)",rgbd_dataset_freiburg1_xyz,0.009270
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_360,0.088896
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_desk,0.025244
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_desk2,0.062306
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_floor,0.038776
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_plant,0.025399
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_room,0.136050
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_rpy,0.027214
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_teddy,0.063763
dvlt-fr1-noloops,TUM fr1,loop closure disabled (--max_loops 0),rgbd_dataset_freiburg1_xyz,0.009751
dvlt-fr1-attn,TUM fr1,"loops on, attention-gated at 0.95",rgbd_dataset_freiburg1_360,0.085450
