Run,Dataset,RMSE
1,rgbd_dataset_freiburg1_360,0.085450
1,rgbd_dataset_freiburg1_desk,0.021454
1,rgbd_dataset_freiburg1_desk2,0.027775
1,rgbd_dataset_freiburg1_floor,0.026216
1,rgbd_dataset_freiburg1_plant,0.018140
1,rgbd_dataset_freiburg1_room,0.060922
1,rgbd_dataset_freiburg1_rpy,0.025431
1,rgbd_dataset_freiburg1_teddy,0.033066
1,rgbd_dataset_freiburg1_xyz,0.009270
1,rgbd_dataset_freiburg2_xyz,0.005803
1,rgbd_dataset_freiburg2_desk,0.017931
1,rgbd_dataset_freiburg2_360_hemisphere,0.153925
1,rgbd_dataset_freiburg2_large_no_loop,0.513514
1,rgbd_dataset_freiburg3_long_office_household,0.024998
1,rgbd_dataset_freiburg3_cabinet,0.016784
1,rgbd_dataset_freiburg3_structure_texture_far,0.015289
1,rgbd_dataset_freiburg3_structure_texture_near,0.025106
1,rgbd_dataset_freiburg3_structure_notexture_far,0.037310
1,rgbd_dataset_freiburg3_structure_notexture_near,0.046999
1,rgbd_dataset_freiburg3_nostructure_texture_far,NaN
1,rgbd_dataset_freiburg3_nostructure_texture_near_withloop,0.209265
